country,individuals_using_internet%,GDP_current_US,access_to_electricity%,government_expenditure_on_education%,trade_in_services%,CO2_emisions,renewvable_energy_consumption%,rule_of_law_estimate,goverment_effectiveness_estimate,political_stability_estimate,population_density,gini_index,human_capital_index,year,internet_electricity_interaction,internet_usage_group
Lesotho,1.11,0.333163557421089,24.66125049591065,4.934684991836544,15.423899653840213,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,51.8203886693017,46.5,0.39244267344474804,1984,27.373988050460824,False
Lesotho,1.11,0.268629925923116,24.66125049591065,4.934684991836544,15.423899653840213,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,53.2508893280632,46.5,0.39244267344474804,1985,27.373988050460824,False
Lesotho,1.11,0.318858469538225,24.66125049591065,4.934684991836544,15.423899653840213,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,54.6703886693017,46.5,0.39244267344474804,1986,27.373988050460824,False
Lesotho,1.11,0.402768258541937,24.66125049591065,4.934684991836544,15.423899653840213,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,55.9597826086957,46.5,0.39244267344474804,1987,27.373988050460824,False
Lesotho,1.11,0.470395904054049,24.66125049591065,4.934684991836544,15.423899653840213,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,57.1058300395257,46.5,0.39244267344474804,1988,27.373988050460824,False
Lesotho,1.11,0.495409138180352,24.66125049591065,4.934684991836544,15.423899653840213,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,58.2045783926219,46.5,0.39244267344474804,1989,27.373988050460824,False
Lesotho,0.0,0.5964103021626299,24.66125049591065,4.934684991836544,15.423899653840213,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,59.2555006587615,46.5,0.39244267344474804,1990,0.0,False
Lesotho,0.0,0.704325366718393,24.66125049591065,4.934684991836544,15.423899653840213,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,60.2605072463768,46.5,0.39244267344474804,1991,0.0,False
Lesotho,0.0,0.831029813140829,24.66125049591065,4.934684991836544,15.423899653840213,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,61.2156455862978,46.5,0.39244267344474804,1992,0.0,False
Lesotho,0.0,0.835582169020455,24.66125049591065,4.934684991836544,15.423899653840213,2276.6,82.065,-0.468431144952774,-0.598455905914307,-0.366829112172127,62.1040184453228,46.5,0.39244267344474804,1993,0.0,False
